T(K),a,da/dT
299.8374,0,0
299.8374,0,0
299.8374,0.00E+00,0
299.9387,0.000141417,0
300.1413,0.000414261,0
300.6478,0.000747026,0
302.066,0.001178781,0
306.7258,0.00209478,0
319.7935,0.003049072,0.002229811
340.1548,0.004038258,0.002655544
350.4874,0.005015852,0.002962833
351.6017,0.006034969,0.00316659
351.3991,0.007078858,0.003316509
351.5004,0.008362775,0.00349672
351.9056,0.010641345,0.00362033
352.716,0.01254104,0.002913055
353.9316,0.014314471,0.001988273
357.5784,0.016118321,0.001234109
367.2019,0.01842778,0.000930541
379.1553,0.021311471,0.00092036
386.4489,0.024392548,0.000993333
389.4879,0.027332749,0.001062635
391.0074,0.030173613,0.00109296
392.6282,0.033368509,0.00107373
395.1607,0.037026844,0.001007837
400.4283,0.040854763,0.000912264
409.5453,0.044715052,0.000821395
419.8779,0.048608857,0.000768841
427.5767,0.052504034,0.000758381
432.2365,0.056353716,0.00076899
435.5794,0.060173761,0.000775007
438.9223,0.06401156,0.000760459
443.3795,0.067840394,0.000719762
449.964,0.071576031,0.000659377
457.9667,0.075308172,0.000597646
465.7668,0.078949275,0.000552846
472.5539,0.082456997,0.000527247
478.328,0.085761039,0.000509517
483.393,0.088821204,0.00048894
488.458,0.091623454,0.000461697
493.523,0.094191416,0.000431071
499.601,0.09657283,0.000400701
506.692,0.098695731,0.000380833
512.77,0.100777104,0.000394948
519.861,0.102856073,0.00047094
524.926,0.104924678,0.000614359
531.004,0.106974588,0.000783523
537.082,0.10938051,0.000940844
543.16,0.114407582,0.001075302
549.238,0.12307791,0.001187523
555.316,0.135667825,0.001268872
561.394,0.143406732,0.001290137
567.472,0.150653125,0.00130502
573.55,0.15787799,0.001483532
579.628,0.165117844,0.001831198
585.706,0.172043164,0.002371594
591.784,0.177936346,0.003114075
598.875,0.182807423,0.003871899
599.888,0.190038278,0.004558133
602.927,0.200440768,0.00511079
604.953,0.211271522,0.005487914
605.966,0.22208808,0.005660347
609.005,0.232894322,0.005624243
611.031,0.243691987,0.005484407
613.057,0.254445596,0.005252024
615.083,0.264965111,0.005043704
617.109,0.275269806,0.004958811
619.135,0.285321636,0.004867608
621.161,0.295402821,0.004752046
623.187,0.305049623,0.004636835
625.213,0.314417149,0.004509207
627.239,0.323496555,0.004346369
629.265,0.332335018,0.004181471
631.291,0.340997517,0.004047619
633.317,0.349519587,0.003948657
635.343,0.357885506,0.003868835
638.382,0.366090719,0.003793225
640.408,0.374177938,0.003732005
642.434,0.382170543,0.003699022
644.46,0.390005205,0.003691285
646.486,0.397563348,0.003667513
648.512,0.404870592,0.003575881
650.538,0.41210719,0.003465348
652.564,0.419347138,0.003375107
654.59,0.42656059,0.003307396
656.616,0.43367974,0.003246572
659.655,0.440655236,0.003178098
661.681,0.447481169,0.003111295
663.707,0.454155503,0.00306007
665.733,0.460639086,0.003025176
667.759,0.466858079,0.002987007
669.785,0.47281861,0.002924585
671.811,0.478630592,0.002862079
673.837,0.484337893,0.002813169
675.863,0.489955598,0.002765829
677.889,0.495518412,0.002699063
679.915,0.501079182,0.002626618
681.941,0.506641155,0.002563457
683.967,0.512148546,0.002510311
685.993,0.517536982,0.002457393
689.032,0.522791212,0.00239741
691.058,0.527930141,0.002341234
693.084,0.532952436,0.002302832
695.11,0.537814715,0.002284673
697.136,0.542458118,0.002271086
699.162,0.546904559,0.002235242
701.188,0.551286631,0.002178947
703.214,0.55570584,0.002126182
705.24,0.560184053,0.002089014
707.266,0.564682767,0.00206527
709.292,0.569143663,0.002045523
712.331,0.573535508,0.002025391
714.357,0.577858609,0.002015334
716.383,0.582101409,0.002013205
718.409,0.586248288,0.001990093
720.435,0.590345626,0.001962451
722.461,0.594494005,0.001987151
724.487,0.598779992,0.00204009
726.513,0.603095928,0.002079637
730.565,0.607411088,0.00211901
733.604,0.611688049,0.002148619
734.617,0.61591215,0.002168565
736.643,0.620006088,0.002154323
739.682,0.623802805,0.002070497
740.695,0.627290367,0.001926411
742.721,0.630557329,0.001822852
744.747,0.633766554,0.001879853
746.773,0.636953679,0.001986047
749.812,0.640107824,0.002076702
751.838,0.643243613,0.002169541
753.864,0.647071748,0.002211766
754.877,0.652274701,0.002179822
757.916,0.657377139,0.002047351
759.942,0.662136166,0.001808111
761.968,0.666801917,0.001508414
768.046,0.671428948,0.001229645
774.124,0.675888496,0.001049723
780.202,0.68009868,0.000934646
786.28,0.685001935,0.00088609
792.358,0.690837519,0.000897535
798.436,0.69672209,0.000918038
804.514,0.702546838,0.00092692
810.592,0.708358381,0.000935591
816.67,0.714128649,0.000943862
822.748,0.719685804,0.000949321
828.826,0.725170452,0.000950006
836.93,0.730654417,0.000947163
840.982,0.736191272,0.000945344
847.06,0.741782988,0.000943264
853.138,0.747394214,0.000937265
859.216,0.752954833,0.000919211
865.294,0.758413884,0.000889574
871.372,0.763755801,0.000861235
877.45,0.768937547,0.000831412
882.515,0.773926482,0.000804878
888.593,0.778678551,0.000783756
894.671,0.783177206,0.000762758
900.749,0.787477922,0.000739679
907.84,0.79167786,0.000720198
912.905,0.795833078,0.000713368
917.97,0.799927169,0.000713008
924.048,0.803959423,0.000710125
930.126,0.807971861,0.000701276
936.204,0.812010023,0.000690008
941.269,0.816067406,0.000681466
947.347,0.820085307,0.000672593
953.425,0.824021405,0.000658317
959.503,0.827874414,0.000640721
964.568,0.831637436,0.000623365
970.646,0.835282332,0.000609094
976.724,0.838770084,0.000593185
982.802,0.842105236,0.000575975
987.867,0.845325326,0.000563809
993.945,0.848457508,0.000557886
999.01,0.851513634,0.000550797
1005.088,0.854533598,0.000535565
1011.166,0.857603985,0.00051894
1016.231,0.860765899,0.000507271
1022.309,0.86397751,0.000501535
1028.387,0.867161224,0.00050179
1039.53,0.870263554,0.00051554
1044.595,0.873116524,0.00052779
1050.673,0.875940079,0.000540597
1055.738,0.878758197,0.000555059
1060.803,0.881555081,0.000571319
1064.855,0.884320808,0.000589109
1069.92,0.887050106,0.000607741
