T(K),a,da/dT
296.7984,0,0
296.7984,0,0
296.7984,0,0
296.8997,5.55E-06,0.00E+00
297.2036,3.42E-05,0.00E+00
297.9127,7.15E-05,0
299.2296,0.000124954,0
302.6738,0.000383447,0
312.0947,0.000783091,5.99E-05
329.9235,0.001312658,0.00018304
340.7626,0.001973066,0.000301581
344.1055,0.002897173,0.000414681
345.7263,0.003778548,0.000521693
347.8536,0.004804733,0.000622306
349.8796,0.006074893,0.0007134
351.8043,0.007804734,0.000702264
353.4251,0.009748651,0.000666157
355.1472,0.011685792,0.000631131
359.9083,0.013606556,0.00060753
370.2409,0.015662905,0.000602826
380.6748,0.017681999,0.000622186
386.4489,0.019827249,0.000660968
389.6905,0.022106328,0.000699731
391.9191,0.024479796,0.00071449
393.9451,0.026903522,0.0006961
396.3763,0.029279713,0.000646243
400.6309,0.031694394,0.000574824
409.8492,0.034012749,0.000500459
418.7636,0.036361751,0.000443789
425.8546,0.038758641,0.000412739
430.8183,0.040913307,0.000399552
434.4651,0.042910813,0.00038798
438.1119,0.044835851,0.000365754
442.2652,0.04672624,0.000331525
447.8367,0.048200892,0.000289764
454.5225,0.049591732,0.000248489
461.6135,0.05088645,0.000215544
468.2993,0.052087998,0.000194266
473.8708,0.053217357,0.000182561
479.341,0.054291983,0.00017455
484.406,0.055311789,0.000166512
490.484,0.05626642,0.000157017
496.562,0.057159981,0.000145795
502.64,0.058014829,0.000134511
508.718,0.058833199,0.000125326
514.796,0.059581277,0.000119056
519.861,0.06022969,0.000118193
525.939,0.060802122,0.000130805
532.017,0.06135806,0.000160797
537.082,0.061952135,0.000206505
543.16,0.062611243,0.000262569
549.238,0.06334716,0.000323552
551.264,0.064173113,0.00038519
553.29,0.065098538,0.000442944
555.316,0.066155646,0.000500964
557.342,0.067242987,0.000625241
559.368,0.068341036,0.000952698
561.394,0.069445034,0.001509123
563.42,0.070553959,0.002163277
565.446,0.071721844,0.002759378
567.472,0.074643336,0.003242806
569.498,0.086373608,0.003637387
571.524,0.099381376,0.003938687
573.55,0.109238849,0.004070334
575.576,0.115804836,0.003969047
577.602,0.122244783,0.003719366
579.628,0.128777442,0.003528609
581.654,0.136348323,0.003501253
583.68,0.143956345,0.003575237
585.706,0.150575845,0.003682601
587.732,0.157255662,0.003891271
589.758,0.164584685,0.00412625
591.784,0.173060194,0.004340465
593.81,0.181868277,0.004586282
596.849,0.190477674,0.004765066
597.862,0.19907149,0.004848718
599.888,0.20763405,0.004825254
602.927,0.216175679,0.004707423
603.94,0.224729422,0.004531525
606.979,0.233332053,0.004326041
609.005,0.241497909,0.004176369
611.031,0.249531822,0.00401384
613.057,0.257466626,0.003841261
615.083,0.265428592,0.003754583
617.109,0.273380126,0.003673017
619.135,0.281024296,0.003578467
621.161,0.28826844,0.003474625
623.187,0.294920008,0.003345444
625.213,0.301579846,0.003223248
627.239,0.308222812,0.003138418
629.265,0.314870807,0.003093382
631.291,0.321450781,0.003068471
634.33,0.327964179,0.003044194
636.356,0.334456695,0.003027965
638.382,0.340949652,0.003031441
640.408,0.34737099,0.003051955
642.434,0.353614725,0.003066225
644.46,0.359744635,0.003049777
646.486,0.365871143,0.003022068
648.512,0.372005604,0.0029952
650.538,0.37812321,0.002967837
652.564,0.384196162,0.002936846
654.59,0.390196013,0.002900205
656.616,0.396095017,0.002849085
658.642,0.401883102,0.002770471
660.668,0.407578151,0.002687643
662.694,0.413183351,0.002623431
664.72,0.418690238,0.00258473
666.746,0.424103146,0.00256619
669.785,0.429457873,0.002561816
671.811,0.434817227,0.002579128
673.837,0.440225181,0.002623437
675.863,0.445688671,0.002715199
677.889,0.451191058,0.002868315
679.915,0.456755745,0.003011449
681.941,0.462444655,0.003158897
683.967,0.468205527,0.003251509
685.993,0.473893173,0.00327418
687.006,0.47947445,0.003246667
690.045,0.484987723,0.003169376
691.058,0.490444285,0.003050121
694.097,0.495829397,0.002886816
696.123,0.501084705,0.002721719
698.149,0.506212413,0.002613651
700.175,0.511345858,0.002545693
702.201,0.51651447,0.002543098
704.227,0.521698968,0.002545263
706.253,0.526897306,0.002535062
708.279,0.532097443,0.002519525
710.305,0.537263967,0.002499245
712.331,0.542357656,0.002476326
714.357,0.547360724,0.002452873
716.383,0.55228718,0.002430842
718.409,0.557165682,0.002411955
720.435,0.562021826,0.002397163
722.461,0.566868789,0.002385512
724.487,0.571706708,0.002374319
726.513,0.576524043,0.002353628
728.539,0.581318778,0.002309788
730.565,0.586109819,0.002261597
732.591,0.590874132,0.002237489
734.617,0.595531504,0.002267414
736.643,0.600167338,0.002356223
739.682,0.604795201,0.002478569
741.708,0.609419607,0.00261429
743.734,0.614274828,0.00273239
745.76,0.620663767,0.002766715
747.786,0.627714174,0.002683027
749.812,0.634172953,0.002479363
751.838,0.640333547,0.002199384
753.864,0.646443815,0.00188998
760.955,0.652545258,0.001591113
767.033,0.658532794,0.001341321
773.111,0.664271146,0.00117024
