T(K),a,da/dT
296.0893,0,0
296.0893,0,0
296.0893,0,0
296.0893,0.000197155,0
296.2919,4.47E-04,0.00E+00
296.8997,0.000716505,0
298.3179,0.001027648,0
303.079,0.001647857,0
317.6662,0.002421665,0
338.0275,0.003149987,0
346.638,0.003890133,0
346.8406,0.004707174,0
346.638,0.005809352,0.00E+00
346.638,0.007443438,0
347.0432,0.009163946,0
347.651,0.010906398,0
348.664,0.012363671,0
351.5004,0.013843106,0
358.0849,0.015393323,0
371.6591,0.017049398,0.001977151
379.5605,0.018795245,0.001888874
382.9034,0.020719049,0.001767226
384.2203,0.022974732,0.001637037
383.9164,0.025381135,0.001528879
387.4619,0.027771936,0.001439729
392.0204,0.030154484,0.001221541
400.7322,0.032499749,0.000841834
411.1661,0.034802933,0.000548206
418.8649,0.037205291,0.000474618
423.7273,0.039670206,0.000479494
426.8676,0.042027001,0.000480475
430.1092,0.044378355,0.000468238
434.4651,0.046600174,0.000437393
440.6444,0.048744269,0.00039151
448.1406,0.050838433,0.000342464
455.8394,0.052840561,0.000303454
462.3226,0.05473208,0.000278333
467.7928,0.056471325,0.000261528
472.8578,0.058033485,0.00024609
478.328,0.059424924,0.000229313
484.406,0.060675365,0.000212182
490.484,0.061829082,0.000196894
496.562,0.06292998,0.000185561
503.653,0.0640062,0.000178569
509.731,0.065060686,0.00017477
514.796,0.066097753,0.000172902
520.874,0.067131132,0.000176681
526.952,0.068159181,0.000197637
533.03,0.069171402,0.000238572
539.108,0.070164583,0.000294434
545.186,0.07115996,0.000358242
551.264,0.072203322,0.000425672
553.29,0.07342246,0.000505218
555.316,0.074676833,0.00064675
557.342,0.075929163,0.000925727
559.368,0.077187342,0.00132319
561.394,0.078508293,0.001751247
563.42,0.079942177,0.002148625
565.446,0.083086141,0.002497478
567.472,0.092069557,0.002781877
569.498,0.100480865,0.002953065
571.524,0.106833272,0.003003309
573.55,0.112737341,0.002965971
575.576,0.118579047,0.002920727
577.602,0.123917824,0.002988771
579.628,0.127085304,0.003186686
581.654,0.133182106,0.003473347
583.68,0.140945565,0.003811253
585.706,0.147770279,0.004153186
587.732,0.157354547,0.004436627
589.758,0.167354879,0.00459558
591.784,0.177336501,0.004619572
593.81,0.187294302,0.004559698
595.836,0.197199437,0.004454243
597.862,0.2065886,0.004348626
599.888,0.215557568,0.004258562
602.927,0.224444271,0.004182533
604.953,0.233273663,0.004130293
606.979,0.241991148,0.004102493
609.005,0.250609223,0.004084032
611.031,0.259220289,0.004044316
613.057,0.267853089,0.003956355
615.083,0.276018411,0.003847937
617.109,0.283496578,0.003722743
619.135,0.29083276,0.003566575
621.161,0.298133179,0.003414151
623.187,0.305268918,0.003296184
625.213,0.312255842,0.003213298
627.239,0.319044755,0.003147186
630.278,0.32565646,0.003086962
632.304,0.332149885,0.003045595
634.33,0.338586277,0.003036224
636.356,0.344983541,0.003055907
638.382,0.351222072,0.003079502
640.408,0.357302174,0.003079679
642.434,0.363442993,0.00307304
644.46,0.369671612,0.003068268
646.486,0.375942795,0.003050274
648.512,0.382226112,0.002995842
650.538,0.388513954,0.002922332
652.564,0.394742766,0.002852164
654.59,0.400829267,0.002794528
656.616,0.406741762,0.002747307
659.655,0.412499968,0.002708588
661.681,0.418157768,0.002690746
663.707,0.423773739,0.002703399
665.733,0.429376641,0.002740449
667.759,0.434966292,0.00277641
669.785,0.440581507,0.002784092
671.811,0.446264952,0.002775523
673.837,0.451989298,0.002758947
675.863,0.457697961,0.002734688
677.889,0.463323059,0.002704139
679.915,0.468816619,0.002660634
681.941,0.474166779,0.002592845
683.967,0.479425575,0.002523671
685.993,0.484650092,0.002474118
688.019,0.489854355,0.002448008
690.045,0.495032718,0.002436325
693.084,0.500194453,0.00242983
695.11,0.505366907,0.002434326
697.136,0.510554926,0.002457327
699.162,0.515717986,0.002496139
701.188,0.520822528,0.002532765
703.214,0.525898023,0.002547625
705.24,0.531003672,0.002554314
707.266,0.536167718,0.002559693
709.292,0.541394312,0.002560544
711.318,0.546668799,0.002552961
713.344,0.551944021,0.002533312
715.37,0.55716421,0.00250014
717.396,0.5622892,0.002446991
719.422,0.567313674,0.002385654
721.448,0.572228108,0.002363371
723.474,0.576968616,0.002341147
725.5,0.581556102,0.002295743
727.526,0.586024201,0.002247983
730.565,0.590355886,0.002239782
731.578,0.594494774,0.002239574
734.617,0.598476371,0.002210172
736.643,0.602365965,0.002159455
738.669,0.606053304,0.002134214
739.682,0.609729384,0.002174464
742.721,0.613377727,0.002280086
744.747,0.616936599,0.002371836
746.773,0.620840421,0.00242007
748.799,0.62668162,0.002411101
750.825,0.632834734,0.002346193
752.851,0.638400457,0.002187115
754.877,0.643831708,0.001955292
756.903,0.64929474,0.001695496
762.981,0.654649249,0.001446071
769.059,0.659552787,0.00124053
775.137,0.664515585,0.00109811
781.215,0.671148088,0.001038494
787.293,0.678108385,0.001045675
794.384,0.684884407,0.001061127
799.449,0.691582361,0.001060311
806.54,0.698264452,0.001043633
812.618,0.704920408,0.001019965
818.696,0.711122005,0.000993792
824.774,0.717111467,0.000967327
830.852,0.722942726,0.000948892
836.93,0.728604312,0.000937975
843.008,0.734135906,0.000931109
849.086,0.739605674,0.000924082
855.164,0.745066094,0.000914589
861.242,0.750532448,0.000904764
866.307,0.755959022,0.000897397
872.385,0.761264491,0.00088612
878.463,0.766429673,0.000864504
884.541,0.771488613,0.000833033
890.619,0.776454764,0.000804271
895.684,0.781263849,0.000785124
901.762,0.78585225,0.000765918
907.84,0.790238282,0.000743632
914.931,0.794470759,0.000718287
919.996,0.79860777,0.000694503
925.061,0.802665263,0.000676521
932.152,0.806602583,0.000660403
937.217,0.810392379,0.000640159
943.295,0.81405126,0.000614075
949.373,0.81761644,0.00058944
955.451,0.821077448,0.000569969
960.516,0.824392909,0.000551996
966.594,0.827557284,0.0005361
972.672,0.830576912,0.000520291
978.75,0.83349851,0.000505972
983.815,0.836382055,0.000497982
989.893,0.839248859,0.000495261
995.971,0.842105035,0.00049277
1002.049,0.844967178,0.000489316
1008.127,0.847840849,0.000484395
1013.192,0.850708925,0.000478235
1019.27,0.853535548,0.000468986
1025.348,0.856290177,0.000458197
1030.413,0.858942373,0.000447955
1036.491,0.861477687,0.000440864
1042.569,0.863891368,0.000435085
1048.647,0.866218725,0.00042609
1053.712,0.868597966,0.000422265
1059.79,0.871088604,0.000431524
1064.855,0.87362022,0.000451736
1070.933,0.876202553,0.000468115
1081.063,0.878764253,0.000483363
1086.128,0.881342538,0.00049948
1090.18,0.883936081,0.000517083
1095.245,0.886537272,0.000535796
1100.31,0.889139517,0.00055516
