T(K),a,da/dT
299.5335,0,0.000927918
299.5335,0,0.000806676
299.5335,0.00E+00,0.000694663
299.5335,9.67E-05,0.000594019
299.6348,0.000245457,0.000506551
300.1413,0.00040685,0.000430772
301.2556,0.000590891,0.000364951
304.8011,0.000912165,0.000309101
315.3363,0.001234927,0.00026726
336.2041,0.001545086,0.000257318
352.1082,0.001834857,0.000429809
356.6667,0.001994688,0.000642667
356.3628,0.002136617,0.00081827
356.0589,0.002263214,0.000931304
356.0589,0.002385679,0.000991863
356.3628,0.002957038,0.00102052
356.9706,0.004297706,0.001023051
357.8823,0.005993067,0.000987103
360.3135,0.007377409,0.000934916
368.8227,0.008680979,0.000926655
383.5112,0.009869442,0.000828316
394.1477,0.011159687,0.000973914
397.9971,0.012598478,0.001114897
399.1114,0.014041868,0.001191815
399.7192,0.01556312,0.001194074
400.327,0.017171397,0.001120977
401.6439,0.018860863,0.000969047
406.405,0.020490654,0.000768944
418.2571,0.022117567,0.000592129
431.5274,0.023798801,0.000498018
439.6314,0.025498173,0.000484963
443.7847,0.027286198,0.000501911
445.912,0.029114642,0.00050893
447.6341,0.030905568,0.000492102
450.4705,0.032660041,0.000445887
455.9407,0.03432584,0.000373616
464.0447,0.035787678,0.000292771
473.0604,0.037132344,0.000229856
481.367,0.038538141,0.000195928
487.445,0.039721955,0.000180464
491.497,0.040779012,0.000171172
496.562,0.041698528,0.00016199
500.614,0.042474184,0.000151629
506.692,0.043139693,0.000141318
513.783,0.043784978,0.000132923
519.861,0.044484122,0.000135867
525.939,0.045260399,0.000164075
532.017,0.046084212,0.000207526
537.082,0.046902025,0.000255512
543.16,0.047701756,0.000305349
550.251,0.048511705,0.000358886
551.264,0.049347504,0.000416618
554.303,0.05020217,0.0004701
556.329,0.051084287,0.000514871
558.355,0.052184739,0.000581719
560.381,0.053341736,0.000769578
562.407,0.054510658,0.001160755
564.433,0.0556967,0.001695772
566.459,0.05690517,0.002266382
568.485,0.058831808,0.002804012
570.511,0.065256331,0.003289783
572.537,0.076523055,0.003700303
574.563,0.086287409,0.003946304
576.589,0.094651259,0.003928096
578.615,0.102529547,0.003717564
580.641,0.110301528,0.003614642
582.667,0.117914548,0.003863468
584.693,0.124695222,0.004268705
587.732,0.129341049,0.004659797
589.758,0.134779288,0.005020626
591.784,0.145676692,0.005407592
592.797,0.157733755,0.005811262
595.836,0.16962956,0.006069879
597.862,0.181504022,0.006057217
599.888,0.193364568,0.005834513
601.914,0.205211227,0.005608259
603.94,0.216730689,0.005516058
605.966,0.227958774,0.005423609
607.992,0.239213458,0.005309177
610.018,0.249903154,0.005193939
612.044,0.260087959,0.005056578
614.07,0.270234605,0.004870975
616.096,0.280436664,0.004682332
618.122,0.290447451,0.004531735
620.148,0.300130643,0.004420191
622.174,0.309247497,0.004329262
625.213,0.317889653,0.004253515
627.239,0.326894247,0.004214549
629.265,0.335847611,0.004204501
631.291,0.344687972,0.004175107
633.317,0.353414355,0.004109097
635.343,0.362162636,0.004002794
637.369,0.371017468,0.003898866
639.395,0.379473468,0.003807418
642.434,0.387269466,0.003716627
644.46,0.394908272,0.003639886
646.486,0.40256126,0.003599355
648.512,0.410102348,0.00358738
650.538,0.41757019,0.003550587
652.564,0.424821205,0.003473608
654.59,0.431951162,0.003400332
656.616,0.439078828,0.003353391
658.642,0.446331388,0.003320613
661.681,0.45344255,0.003278351
663.707,0.460426677,0.003225371
665.733,0.467362198,0.003174205
667.759,0.474366293,0.003131188
669.785,0.481192117,0.003070232
671.811,0.48720041,0.002950826
673.837,0.492921416,0.002817747
675.863,0.498633119,0.002713182
677.889,0.504306494,0.002650112
679.915,0.50990287,0.002618424
682.954,0.515433387,0.002598046
684.98,0.520942924,0.002589324
687.006,0.526452468,0.002599554
689.032,0.531927996,0.00262529
691.058,0.537320515,0.002646674
693.084,0.542653288,0.002643265
695.11,0.547981966,0.002631001
697.136,0.553306223,0.002609663
699.162,0.55861481,0.002562329
701.188,0.563921007,0.002505135
703.214,0.56922491,0.002454786
705.24,0.574481165,0.002414616
707.266,0.579636533,0.002377343
710.305,0.584690418,0.002336365
712.331,0.589669629,0.002300173
714.357,0.594587251,0.00227805
716.383,0.59941561,0.002267938
718.409,0.604087591,0.002252296
720.435,0.608610561,0.002212687
722.461,0.613067114,0.00216423
724.487,0.617451413,0.002109515
726.513,0.621746601,0.002037107
728.539,0.625965078,0.001959649
730.565,0.630091227,0.00189008
732.591,0.634096726,0.001831759
734.617,0.637965549,0.001780023
737.656,0.641710417,0.001730295
739.682,0.64537044,0.001689669
741.708,0.648968003,0.001665643
